Date,Open,High,Low,Close,Volume,Adj Close
2015-06-05,2030.00,2044.00,2008.15,2011.00,1468600,1952.433
2015-06-04,2030.00,2055.00,2012.60,2028.05,1872300,1968.986
2015-06-03,2018.20,2039.45,2008.00,2020.90,1373900,1962.044
2015-06-02,2048.10,2055.10,2005.00,2008.65,1168200,1950.151
2015-06-01,2032.80,2064.00,2023.25,2047.80,1431200,1988.161
2015-05-29,2004.85,2056.45,2001.00,2023.15,4748200,1964.229
2015-05-28,1975.20,2032.00,1975.20,2016.60,2745100,1957.87
2015-05-27,2007.00,2009.00,1955.00,1968.50,2113600,1911.171
2015-05-26,2020.00,2031.45,2002.15,2007.30,991200,1948.841
2015-05-25,2050.50,2056.55,2007.05,2016.80,1168900,1958.064
2015-05-22,2044.00,2051.55,2030.10,2046.45,1722200,1986.85
2015-05-21,2048.90,2061.90,2037.25,2048.45,2514800,1988.792
2015-05-20,2040.00,2052.00,2033.60,2047.30,1470500,1987.676
2015-05-19,1987.30,2035.70,1986.00,2022.35,2568000,1963.452
2015-05-18,1970.00,1998.90,1961.60,1993.05,1617400,1935.006
2015-05-15,1935.00,1966.60,1932.30,1961.75,1297300,1904.617
2015-05-14,1960.00,1960.80,1908.00,1934.80,1558400,1878.452
2015-05-13,1951.75,1964.90,1928.50,1956.70,1774700,1899.714
2015-05-12,1993.65,1994.60,1942.00,1947.10,2071200,1890.394
2015-05-11,1965.00,2000.00,1952.20,1993.65,1196300,1935.588
2015-05-08,1958.00,1967.55,1945.25,1957.95,1444400,1900.928
2015-05-07,1922.00,1967.10,1910.00,1944.00,1694900,1887.384
2015-05-06,1975.00,1975.00,1915.30,1922.05,2627100,1866.073
2015-05-05,2000.00,2003.70,1952.05,1962.75,2352100,1905.588
2015-05-04,1959.50,2000.00,1949.90,1993.10,3340300,1935.054
2015-05-01,1942.25,1942.25,1942.25,1942.25,000,1885.685
2015-04-30,1960.00,1965.00,1932.30,1942.25,3283500,1885.685
2015-04-29,1960.90,1972.00,1937.95,1961.15,2072200,1904.035
2015-04-28,1982.00,1982.00,1952.00,1960.90,2598300,1903.792
2015-04-27,2000.00,2002.00,1948.10,1984.65,4955600,1926.85
2015-04-24,2135.90,2150.20,1980.00,1995.20,10891300,1937.093
2015-04-23,2148.70,2150.00,2112.00,2122.00,2972900,2060.20
2015-04-22,2151.05,2155.00,2097.95,2137.70,3087700,2075.443
2015-04-21,2148.00,2155.10,2120.10,2142.60,2220400,2080.20
2015-04-20,2176.00,2180.00,2115.15,2132.15,3206300,2070.054
2015-04-17,2180.05,2194.95,2153.45,2179.25,1612500,2115.783
2015-04-16,2222.00,2231.00,2160.50,2194.65,2251900,2130.734
2015-04-15,2236.50,2245.00,2195.05,2213.70,1559400,2149.229
2015-04-14,2238.80,2238.80,2238.80,2238.80,000,2173.599
2015-04-13,2238.00,2244.00,2216.10,2238.80,1218000,2173.599
2015-04-10,2210.20,2238.00,2210.20,2233.95,1780900,2168.89
2015-04-09,2211.40,2218.90,2184.40,2215.00,2645300,2150.492
2015-04-08,2182.50,2204.90,2173.05,2200.55,2546300,2136.462
2015-04-07,2175.00,2182.80,2138.00,2159.50,2135500,2096.608
2015-04-06,2179.00,2184.70,2160.40,2178.20,1935400,2114.763
2015-04-03,2173.95,2173.95,2173.95,2173.95,000,2110.637
2015-04-02,2173.95,2173.95,2173.95,2173.95,000,2110.637
2015-04-01,2198.90,2199.50,2157.70,2173.95,1684600,2110.637
2015-03-31,2245.00,2273.65,2204.35,2218.35,2004100,2153.744
2015-03-30,2205.60,2240.00,2194.90,2228.00,1155700,2163.113
2015-03-27,2164.00,2224.70,2163.00,2202.15,2518500,2138.016
2015-03-26,2208.00,2214.90,2132.00,2146.35,3935200,2083.841
2015-03-25,2222.90,2229.15,2200.75,2219.10,1542700,2154.472
2015-03-24,2234.90,2253.40,2206.00,2211.45,1684100,2147.045
2015-03-23,2253.00,2275.00,2225.50,2233.45,1269600,2168.404
2015-03-20,2241.00,2268.90,2232.95,2257.45,1607700,2191.705
2015-03-19,2234.60,2249.00,2222.75,2230.45,1722900,2165.492
2015-03-18,2254.50,2262.85,2222.55,2229.50,1226300,2164.569
2015-03-17,2266.65,2279.50,2217.25,2240.50,1384800,2175.249
2015-03-16,2210.55,2282.00,2210.55,2266.65,1704600,2200.637
2015-03-13,2225.00,2230.00,2192.40,2220.40,1544900,2155.734
2015-03-12,2179.00,2226.45,2177.00,2218.30,1422100,2153.696
2015-03-11,2194.10,2240.00,2169.10,2182.20,1695200,2118.647
2015-03-10,2198.10,2206.95,2160.20,2198.00,1582400,2133.987
2015-03-09,2259.00,2259.00,2179.00,2190.05,1996100,2126.268
2015-03-06,2247.60,2247.60,2247.60,2247.60,000,2182.142
2015-03-05,2267.05,2298.75,2233.35,2247.60,1421200,2182.142
2015-03-04,2300.00,2313.90,2251.90,2274.65,1093800,2208.404
2015-03-03,2290.00,2302.95,2278.30,2297.85,1226300,2230.929
2015-03-02,2303.00,2308.50,2278.05,2291.70,1760200,2224.958
2015-02-27,2274.90,2280.65,2251.50,2265.75,1950200,2199.764
2015-02-26,2307.50,2309.00,2245.40,2258.10,1611400,2192.336
2015-02-25,2288.90,2334.80,2280.00,2317.60,1511200,2250.104
2015-02-24,2279.00,2295.95,2257.60,2272.80,1609400,2206.608
2015-02-23,2300.00,2309.20,2248.10,2265.60,1272600,2199.618
2015-02-20,2328.50,2336.00,2276.90,2283.10,1742900,2216.608
2015-02-19,2294.00,2334.00,2292.05,2324.70,2418400,2256.997
2015-02-18,2290.55,2304.95,2258.15,2296.50,2153400,2229.618
2015-02-17,2278.75,2278.75,2278.75,2278.75,000,2212.385
2015-02-16,2280.30,2306.90,2265.25,2278.75,1561000,2212.385
2015-02-13,2299.60,2326.70,2286.00,2296.10,1414300,2229.23
2015-02-12,2283.00,2321.95,2273.00,2311.20,1571800,2243.89
2015-02-11,2280.50,2293.20,2256.25,2284.85,1449200,2218.307
2015-02-10,2243.00,2298.00,2241.00,2278.30,2129200,2211.948
2015-02-09,2200.00,2254.00,2200.00,2248.90,1634200,2183.404
2015-02-06,2205.00,2247.80,2188.50,2230.50,1863400,2165.54
2015-02-05,2150.80,2220.00,2148.00,2193.80,2968900,2129.909
2015-02-04,2139.90,2150.00,2126.40,2142.85,1290000,2080.443
2015-02-03,2136.85,2139.95,2102.00,2120.90,1316400,2059.132
2015-02-02,2141.50,2152.00,2126.05,2136.85,2175600,2074.618
2015-01-30,2161.50,2162.55,2126.95,2141.90,2708400,2079.52
2015-01-29,2145.00,2149.90,2127.60,2145.50,3842300,2083.016
2015-01-28,2150.00,2154.80,2130.30,2144.55,3283500,2082.093
2015-01-27,2221.00,2221.00,2130.10,2136.50,3434900,2074.278
2015-01-26,2215.05,2215.05,2215.05,2215.05,000,2150.54
2015-01-23,2200.00,2225.00,2165.10,2215.05,2371500,2150.54
2015-01-22,2174.80,2203.00,2161.30,2196.45,2489500,2132.482
2015-01-21,2131.50,2175.95,2118.00,2169.90,2123700,2106.705
2015-01-20,2107.00,2133.00,2101.45,2124.20,1701100,2062.336
2015-01-19,2120.00,2132.35,2094.60,2102.50,1021900,2041.268
2015-01-16,2148.00,2160.00,2112.00,2118.30,1672700,2056.608
2015-01-15,2135.20,2152.80,2112.25,2134.25,2085600,2072.093
2015-01-14,2098.50,2133.00,2092.60,2128.65,2480300,2066.656
2015-01-13,2107.80,2107.80,2075.00,2088.90,2200300,2028.064
2015-01-12,2092.00,2119.20,2075.00,2115.95,3189700,2054.326
2015-01-09,1980.10,2109.00,1913.05,2074.45,11215800,2014.035
2015-01-08,1985.60,1997.00,1950.00,1973.45,3391200,1915.976
2015-01-07,1965.00,1974.75,1950.00,1963.55,1812400,1906.365
2015-01-06,1980.00,1985.00,1934.10,1954.20,2416800,1897.287
2015-01-05,2009.90,2030.00,1977.50,1995.90,2484200,1937.773
2015-01-02,1972.00,2019.05,1972.00,2013.20,1694500,1954.569
2015-01-01,1968.95,1982.00,1956.90,1974.40,500600,1916.899
2014-12-31,1955.00,1978.95,1950.00,1972.55,1742200,1915.103
2014-12-30,1962.25,1975.00,1956.80,1966.35,1160100,1909.083
2014-12-29,1956.05,1972.80,1952.50,1957.80,698100,1900.782
2014-12-26,1945.10,1960.70,1930.95,1952.25,567100,1895.394
2014-12-25,1930.55,1930.55,1930.55,1930.55,000,1874.326
2014-12-24,1976.00,1987.00,1915.05,1930.55,6834800,1874.326
2014-12-23,2000.85,2021.90,1963.60,1971.65,2049200,1914.229
2014-12-22,2006.00,2010.10,1975.35,1999.60,2616200,1941.365
2014-12-19,1997.60,2008.00,1986.00,1998.65,3573600,1940.442
2014-12-18,1954.00,1981.80,1944.75,1965.90,4987400,1908.646
2014-12-17,1936.00,1955.50,1896.30,1938.50,4462900,1882.044
2014-12-16,1925.70,1951.60,1925.70,1938.00,4448100,1881.559
2014-12-15,1904.95,1957.25,1904.90,1924.80,3241500,1868.743
2014-12-12,1939.05,1960.40,1918.10,1938.65,3643100,1882.19
2014-12-11,1951.00,1953.95,1915.00,1921.05,2071400,1865.102
2014-12-10,1966.00,1985.00,1959.10,1963.75,1951100,1906.559
2014-12-09,1982.75,1986.00,1952.45,1964.80,2512600,1907.578
2014-12-08,2009.00,2019.00,1957.75,1970.15,41580100,1912.773
2014-12-05,2115.00,2116.60,2059.80,2070.30,1839600,2010.006
2014-12-04,2110.00,2144.90,2095.00,2101.80,2349800,2040.588
2014-12-03,2101.50,2132.95,2084.55,2123.50,3193700,2061.656
2014-12-02,2164.95,2164.95,2115.00,2126.60,2663700,2064.666
2014-12-01,2193.50,2201.10,2146.30,2174.93,4585400,1055.794
2014-11-28,2185.05,2199.00,2171.70,2179.93,3586800,1058.221
2014-11-27,2160.95,2188.20,2156.00,2182.95,4347200,1059.687
2014-11-26,2150.00,2158.85,2135.80,2150.23,1982700,1043.804
2014-11-25,2147.50,2159.98,2123.00,2151.60,3721600,1044.469
2014-11-24,4200.00,4281.64,4191.96,4275.10,2761800,2075.297
2014-11-21,4170.00,4179.00,4101.60,4146.14,2615800,2012.695
2014-11-20,4190.00,4232.50,4183.86,4225.60,1336900,2051.268
2014-11-19,4180.00,4189.96,4139.76,4173.36,1300200,2025.909
2014-11-18,4225.00,4227.80,4172.10,4182.36,1316700,2030.278
2014-11-17,4185.00,4227.90,4148.10,4218.46,1364500,2047.802
2014-11-14,4194.00,4211.46,4174.00,4191.64,1308200,2034.783
2014-11-13,4122.00,4201.04,4112.40,4178.60,1239100,2028.452
2014-11-12,4121.00,4150.70,4097.10,4106.00,1348200,1993.21
2014-11-11,4165.00,4165.00,4103.80,4125.20,1563700,2002.53
2014-11-10,4175.04,4181.10,4140.00,4165.50,1398500,2022.093
2014-11-07,4118.30,4183.00,4118.30,4166.60,2492600,2022.627
2014-11-06,4124.80,4124.80,4124.80,4124.80,000,2002.336
2014-11-05,4085.00,4154.00,4057.00,4124.80,2560200,2002.336
2014-11-04,4085.90,4085.90,4085.90,4085.90,000,1983.452
2014-11-03,4076.90,4110.00,4032.44,4085.90,2144600,1983.452
2014-10-31,3987.06,4066.00,3987.06,4051.24,2167700,1966.627
2014-10-30,3896.00,3981.24,3896.00,3946.56,3811300,1915.811
2014-10-29,3812.94,3892.70,3812.94,3881.44,2057300,1884.20
2014-10-28,3765.00,3812.36,3765.00,3788.24,1666500,1838.957
2014-10-27,3850.00,3850.00,3782.20,3803.06,1191900,1846.151
2014-10-24,3796.06,3796.06,3796.06,3796.06,000,1842.753
2014-10-23,3796.06,3796.06,3796.06,3796.06,000,1842.753
2014-10-22,3809.30,3811.90,3776.20,3796.06,1338300,1842.753
2014-10-21,3849.90,3849.90,3710.00,3772.94,6520300,1831.53
2014-10-20,3853.00,3862.56,3802.10,3812.36,1925600,1850.666
2014-10-17,3864.90,3922.80,3837.10,3851.64,2047500,1869.733
2014-10-16,3900.10,3938.30,3854.36,3865.30,2504300,1876.365
2014-10-15,3918.30,3918.30,3918.30,3918.30,000,1872.967
2014-10-14,3965.00,3965.00,3900.00,3918.30,1715100,1872.967
2014-10-13,3889.30,3985.00,3889.30,3942.56,4431700,1884.563
2014-10-10,3660.00,3908.00,3572.70,3888.64,11473200,1858.789
